consoles_name,release_year,game_media,original_price,2022_price_adjusted_for_inflation,total_systems_sold,manufacturers
Magnavox Odyssey,1972,Dedicated consoles,99.0,611.21,350000,Magnavox
Home Pong,1977,Dedicated consoles,98.95,504.07,150000,Atari
Coleco Telstar series,1976,Dedicated consoles,50.0,268.0,1000000,Coleco
Fairchild Channel F,1976,Game cartridges,169.95,910.92,250000,Fairchild Semiconductor
Atari 2600,1977,Game cartridges,199.0,1013.75,30000000,Atari
Mattel Intellivision,1980,Game cartridges,299.0,1145.32,3000000,Mattel
Magnavox Odyssey 2,1978,Game cartridges,199.0,948.87,2000000,Magnavox
ColecoVision,1982,Game cartridges,199.0,628.89,2000000,Coleco
Nintendo Entertainment System,1985,Game cartridges,180.0,508.46,61910000,Nintendo
Sega Master System,1986,Game cartridges,199.99,543.79,20190000,Sega
Atari 7800,1986,Game cartridges,140.0,380.67,100000,Atari
TurboGrafx-16,1987,Game cartridges,199.0,533.31,10500000,NEC
Sega Genesis,1988,Game cartridges,189.99,489.36,40000000,Sega
Neo Geo,1991,Game cartridges,650.0,1439.14,410000,SNK
Super Nintendo Entertainment System,1990,Game cartridges,199.99,467.81,49100000,Nintendo
Game Gear,1990,Game cartridges,149.99,350.85,15000000,Sega
Game Boy,1989,Game cartridges,89.95,221.36,118690000,Sega
Sega Saturn,1994,Optical media,399.99,815.33,9400000,Nintendo
Sony PlayStation,1994,Optical Meda,299.99,611.5,102000000,Sony
Game Boy Color,1998,Game Cartridges,69.99,129.07,118690000,Nintendo
Nintendo 64,1996,Game Cartridges,199.99,386.01,32930000,Nintendo
Sega Dreamcast,1998,Optical media,199.99,368.81,9130000,Sega
Sony PlayStation 2,2000,Optical media,299.99,529.62,158700000,Sony
Nintendo GameCube,2001,Optical media,199.99,340.37,21740000,Nintendo
Game Boy Advance,2001,Game Cartridges,99.99,170.18,81510000,Nintendo
Microsoft Xbox,2001,Optical media,299.99,510.57,24000000,Microsoft
Microsoft Xbox 360,2005,"Optical media, digital distribution",399.99,625.08,85000000,Microsoft
Sony PlayStation 3,2006,"Optical media, digital distribution",599.99,901.69,87400000,Sony
Nintendo DS,2004,"Game Cartridges, Digital distribution",149.99,241.35,154002000,Nintendo
Playstation Portable,2004,"Optical media, digital distribution",249.99,402.27,81009000,Sony
Nintendo Wii,2006,"Optical media, digital distribution",249.99,375.69,101630000,Nintendo
Nintendo Wii U,2012,"Optical media, digital distribution",299.99,394.42,13560000,Nintendo
Sony PlayStation 4,2013,"Optical media, digital distribution",399.99,517.64,117150000,Sony
Microsoft Xbox One,2013,"Optical media, digital distribution",499.99,647.05,51000000,Microsoft
Nintendo 3DS,2011,Game cartridges. Digital Distribution,249.99,338.29,75940000,Nintendo
Playstation Vita,2011,"Optical media, digital distribution",299.99,405.95,16210000,Sony
Nintendo Switch,2017,Game cartridges. Digital Distribution,299.99,368.15,131250000,Nintendo
Microsoft XBOX Series X|S,2020,"Optical media, digital distribution",499.99,449.0,24330000,Microsoft
Sony PlayStasion 5,2020,"Optical media, digital distribution",499.99,449.0,45370000,Sony
